Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Accrual Date
ATEX,ANTERIX INC,Communication,Equity,"103,070.04",0.00,"103,070.04","3,228.00",31.93,United States,NASDAQ,USD,1.00,--
ATGE,ADTALEM GLOBAL EDUCATION INC,Consumer Discretionary,Equity,"904,774.94",0.01,"904,774.94","10,667.00",84.82,United States,New York Stock Exchange Inc.,USD,1.00,--
ATI,ATI INC,Materials,Equity,"1,870,733.67",0.01,"1,870,733.67","33,293.00",56.19,United States,New York Stock Exchange Inc.,USD,1.00,--
ATKR,ATKORE INC,Industrials,Equity,"917,865.03",0.01,"917,865.03","10,061.00",91.23,United States,New York Stock Exchange Inc.,USD,1.00,--
ATMU,ATMUS FILTRATION TECHNOLOGIES INC,Industrials,Equity,"974,361.70",0.01,"974,361.70","22,607.00",43.10,United States,New York Stock Exchange Inc.,USD,1.00,--
ATNI,ATN INTERNATIONAL INC,Communication,Equity,"59,837.96",0.00,"59,837.96","3,094.00",19.34,United States,NASDAQ,USD,1.00,--
ATO,ATMOS ENERGY CORP,Utilities,Equity,"5,821,376.54",0.04,"5,821,376.54","40,331.00",144.34,United States,New York Stock Exchange Inc.,USD,1.00,--
ATR,APTARGROUP INC,Materials,Equity,"3,050,928.40",0.02,"3,050,928.40","17,524.00",174.10,United States,New York Stock Exchange Inc.,USD,1.00,--
ATRC,ATRICURE INC,Health Care,Equity,"429,228.36",0.00,"429,228.36","12,156.00",35.31,United States,NASDAQ,USD,1.00,--
ATRO,ASTRONICS CORP,Industrials,Equity,"126,511.88",0.00,"126,511.88","7,771.00",16.28,United States,NASDAQ,USD,1.00,--
ATSG,AIR TRANSPORT SERVICES GROUP INC,Industrials,Equity,"352,083.46",0.00,"352,083.46","15,982.00",22.03,United States,NASDAQ,USD,1.00,--
ATXS,ASTRIA THERAPEUTICS INC,Health Care,Equity,"115,096.63",0.00,"115,096.63","11,407.00",10.09,United States,NASDAQ,USD,1.00,--
AUB,ATLANTIC UNION BANKSHARES CORP,Financials,Equity,"1,015,027.35",0.01,"1,015,027.35","23,799.00",42.65,United States,New York Stock Exchange Inc.,USD,1.00,--
AUPH,AURINIA PHARMACEUTICALS INC,Health Care,Equity,"316,789.90",0.00,"316,789.90","38,030.00",8.33,United States,NASDAQ,USD,1.00,--
AUR,AURORA INNOVATION INC CLASS A,Information Technology,Equity,"1,330,845.22",0.01,"1,330,845.22","247,369.00",5.38,United States,NASDAQ,USD,1.00,--
AURA,AURA BIOSCIENCES INC,Health Care,Equity,"87,536.60",0.00,"87,536.60","8,780.00",9.97,United States,NASDAQ,USD,1.00,--
AVA,AVISTA CORP,Utilities,Equity,"674,477.84",0.00,"674,477.84","18,136.00",37.19,United States,New York Stock Exchange Inc.,USD,1.00,--
AVAV,AEROVIRONMENT INC,Industrials,Equity,"1,414,022.75",0.01,"1,414,022.75","6,923.00",204.25,United States,NASDAQ,USD,1.00,--
AVB,AVALONBAY COMMUNITIES REIT INC,Real Estate,Equity,"8,754,563.37",0.06,"8,754,563.37","38,409.00",227.93,United States,New York Stock Exchange Inc.,USD,1.00,--
AVBP,ARRIVENT BIOPHARMA INC,Health Care,Equity,"212,537.52",0.00,"212,537.52","7,569.00",28.08,United States,NASDAQ,USD,1.00,--
AVD,AMER VANGUARD CORP,Materials,Equity,"53,768.08",0.00,"53,768.08","8,902.00",6.04,United States,New York Stock Exchange Inc.,USD,1.00,--
AVDL,AVADEL PHARMACEUTICALS ORD,Health Care,Equity,"286,551.16",0.00,"286,551.16","24,724.00",11.59,United States,NASDAQ,USD,1.00,--
AVDX,AVIDXCHANGE HOLDINGS INC,Financials,Equity,"543,261.42",0.00,"543,261.42","50,583.00",10.74,United States,NASDAQ,USD,1.00,--
AVGO,BROADCOM INC,Information Technology,Equity,"209,380,493.14",1.34,"209,380,493.14","1,228,903.00",170.38,United States,NASDAQ,USD,1.00,--
AVIR,ATEA PHARMACEUTICALS INC,Health Care,Equity,"60,894.07",0.00,"60,894.07","18,397.00",3.31,United States,NASDAQ,USD,1.00,--
AVNS,AVANOS MEDICAL INC,Health Care,Equity,"233,247.00",0.00,"233,247.00","12,180.00",19.15,United States,New York Stock Exchange Inc.,USD,1.00,--
AVNT,AVIENT CORP,Materials,Equity,"1,188,470.25",0.01,"1,188,470.25","23,235.00",51.15,United States,New York Stock Exchange Inc.,USD,1.00,--
AVNW,AVIAT NETWORKS INC,Information Technology,Equity,"49,686.52",0.00,"49,686.52","3,572.00",13.91,United States,NASDAQ,USD,1.00,--
AVO,MISSION PRODUCE INC,Consumer Staples,Equity,"141,922.24",0.00,"141,922.24","10,544.00",13.46,United States,NASDAQ,USD,1.00,--
AVPT,AVEPOINT INC CLASS A,Information Technology,Equity,"626,456.18",0.00,"626,456.18","39,599.00",15.82,United States,NASDAQ,USD,1.00,--
AVT,AVNET INC,Information Technology,Equity,"1,304,677.92",0.01,"1,304,677.92","24,598.00",53.04,United States,NASDAQ,USD,1.00,--
AVTE,AEROVATE THERAPEUTICS INC,Health Care,Equity,"11,947.52",0.00,"11,947.52","4,667.00",2.56,United States,NASDAQ,USD,1.00,--
AVTR,AVANTOR INC,Health Care,Equity,"3,820,091.85",0.02,"3,820,091.85","180,619.00",21.15,United States,New York Stock Exchange Inc.,USD,1.00,--
AVXL,ANAVEX LIFE SCIENCES CORP,Health Care,Equity,"156,183.50",0.00,"156,183.50","19,450.00",8.03,United States,NASDAQ,USD,1.00,--
AVY,AVERY DENNISON CORP,Materials,Equity,"4,366,434.22",0.03,"4,366,434.22","21,842.00",199.91,United States,New York Stock Exchange Inc.,USD,1.00,--
AWI,ARMSTRONG WORLD INDUSTRIES INC,Industrials,Equity,"1,874,217.93",0.01,"1,874,217.93","12,233.00",153.21,United States,New York Stock Exchange Inc.,USD,1.00,--
